Steps,Policy/Entropy,Policy/Learning Rate,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Policy/Extrinsic Reward,Policy/Curiosity Reward,Environment/Cumulative Reward,Environment/Episode Length
5000,2.8503628,0.00029925018,0.0,-0.022979517,-0.010944334,0.046802275,0.0681815,0.010038284,2.852631,-1.0002511603136857,0.08698634448956,-1.0002499883945954,993.0
10000,2.8520648,0.00029775017,0.0,0.10709588,0.019261569,0.06408891,0.06975429,0.013930189,2.7350287,-1.000001430635651,0.2170420053647831,-1.000000004642061,993.0
15000,2.7487571,0.00029625016,0.0,0.050165784,0.10957454,0.07125237,0.068640105,0.060977876,2.3796375,-1.0000015347575149,1.2355292822389552,-1.0000000129056086,993.0
20000,2.785158,0.00029475018,0.0,-0.08088196,0.19334583,0.06691214,0.06984702,0.090141214,2.2739263,-1.0000015108535687,2.149506457421618,-1.0000000020265967,993.0
25000,2.8036427,0.00029325017,0.0,0.04735953,0.2224317,0.079176106,0.06984893,0.10225769,2.3931482,-1.0000017546738187,2.1160568625976643,-1.0000000281754182,993.0
30000,2.7705612,0.00029175016,0.0,0.058220465,0.2115496,0.096948124,0.06766109,0.081685066,2.4209979,-1.0000018991529942,2.0103004235153397,-1.0000000405552176,993.0
35000,2.7741396,0.00029025017,0.0,-0.0076750764,0.2621675,0.103335425,0.07036193,0.1631289,2.2670054,-1.0000019396965703,2.497808192623779,-1.0000000313021398,993.0
40000,2.7031417,0.00028875016,0.0,0.0802368,0.15951557,0.0834125,0.07022767,0.07177663,2.3340852,-1.0000016992911696,1.4478133402143916,-1.0000000241261053,993.0
45000,2.721223,0.00028725018,0.0,-0.14099982,0.18717155,0.07388816,0.06811712,0.09257905,2.1457071,-1.0000018573055665,1.923384164335827,-1.0000000189689067,993.0
50000,2.6468124,0.00028575014,0.0,-0.07948879,0.26717135,0.06343918,0.06855145,0.13160117,2.0651832,-1.0000014768913388,2.726122139984121,-1.0000000119907781,993.0
55000,2.638491,0.00028425016,0.0,-0.04272623,0.2661525,0.059481513,0.06806923,0.10273782,2.1088068,-1.0000010364999374,2.601720830487708,-0.9999999813347434,993.0
60000,2.4839747,0.00028275017,0.0,-0.0015936991,0.31231302,0.048169024,0.06909874,0.14511827,1.9183849,-1.0000011647120117,2.8782247265490395,-0.9999999943402751,993.0
65000,2.6986597,0.00028125016,0.0,-0.01818294,0.2781462,0.06572445,0.06910228,0.13004892,1.9832224,-1.0000014942139388,3.0224502541745704,-1.0000000069946207,993.0
70000,2.7668657,0.00027975015,0.0,-0.049448285,0.2582582,0.06731824,0.06861441,0.13734348,2.0936873,-1.0000014785677194,2.672954311206316,-0.9999999980432525,993.0
75000,2.7478638,0.00027825017,0.0,-0.090426855,0.30874303,0.07593492,0.070575155,0.16065562,1.887537,-1.0000019357850154,3.13851557681337,-1.000000026297251,993.0
80000,2.6252947,0.0002767502,0.0,-0.021794526,0.2821018,0.073439166,0.06986092,0.15119427,1.7740303,-1.000001851034661,3.0255182338878512,-1.0000000132577649,993.0
85000,2.6069567,0.00027525018,0.0,0.028421836,0.38122848,0.0614087,0.06901346,0.20748103,1.8428323,-1.0000015299146374,3.928256338244925,-1.000000008380933,993.0
90000,2.6173968,0.00027375016,0.0,-0.099574775,0.34845275,0.061193198,0.06855923,0.16915631,1.7489121,-1.0000014488274853,3.530661913411071,-1.0000000068287287,993.0
95000,2.7354007,0.00027225018,0.0,-0.022674518,0.29802948,0.05432694,0.06810482,0.13870807,2.0694203,-1.0000013172626496,2.9586799712851644,-0.9999999954918166,993.0
100000,2.7711813,0.00027075017,0.0,-0.08081594,0.35643062,0.06934902,0.06685353,0.15880191,2.15942,-1.0000017556672296,3.749093936694165,-1.0000000151601853,993.0
105000,2.77393,0.00026925022,0.0,-0.042311203,0.3111222,0.081127256,0.067713335,0.14771603,2.0735242,-1.000001996010542,3.2318086553985874,-1.00000004596756,993.0
110000,2.7183454,0.00026775018,0.0,0.053989112,0.29660925,0.07830979,0.06953786,0.16429813,2.0647702,-1.000001839734614,2.900799760688096,-1.0000000265058284,993.0
115000,2.7478368,0.0002662502,0.0,-0.0050660553,0.276146,0.07693301,0.069005325,0.1598672,2.079391,-1.0000015860423446,3.111878133689364,-1.0000000285324253,993.0
120000,2.75475,0.00026475018,0.0,-0.060613114,0.34440574,0.07717544,0.068588644,0.20059653,1.9456089,-1.000001840169231,3.935130138291667,-1.0000000418105628,993.0
125000,2.7433727,0.00026325017,0.0,-0.124424316,0.34927675,0.07332815,0.071347974,0.1843731,2.022211,-1.0000014218812188,3.4821928050058584,-0.999999999809855,993.0
130000,2.764106,0.00026175016,0.0,0.0031730037,0.42007333,0.069748655,0.07012248,0.2210873,2.0190873,-1.0000014827897152,4.706115026182185,-0.999999999817616,993.0
135000,2.512537,0.00026025018,0.0,-0.028244603,0.5117038,0.03779859,0.069338456,0.21803072,1.8074911,-1.0000007684032122,4.910974306675295,-0.9999999688443495,993.0
140000,2.5530481,0.00025875017,0.0,-0.0824732,0.3491362,0.06838734,0.07098886,0.18150926,1.7276644,-1.0000013265758754,3.1895725851878525,-0.9999999965531363,993.0
145000,2.5915449,0.00025725015,0.0,-0.10611122,0.3599325,0.05873672,0.06868287,0.18254715,1.8160515,-1.0000011339783668,3.49285239710783,-0.9999999879238506,993.0
150000,2.6958718,0.00025575017,0.0,0.101090334,0.3493965,0.06622727,0.06960742,0.2016079,1.8420798,-1.0000014745940764,3.2688914627147216,-0.9999999971381234,993.0
155000,2.719355,0.0002542502,0.0,0.08550864,0.32752478,0.06650187,0.07081698,0.17568576,1.8513424,-1.0000014723589024,3.1462729408405723,-1.000000014169685,993.0
160000,2.5963962,0.00025275018,0.0,-0.0025624335,0.36584112,0.09410803,0.06922545,0.18175846,1.8609715,-1.0000017166758577,3.1808692436975736,-1.0000000515787784,993.0
165000,2.4826515,0.00025125017,0.0,0.005700882,0.29347458,0.09752239,0.070218265,0.16864716,1.7041899,-1.0000019819786152,2.870400964189321,-1.0000000366009771,993.0
170000,2.5604734,0.00024975018,0.0,-0.06964668,0.25712782,0.06832957,0.06916289,0.13741623,1.7396826,-1.00000165309757,2.3434314924913147,-1.0000000250991434,993.0
175000,2.6625679,0.00024825017,0.0,-0.06966984,0.2216048,0.09478221,0.06979902,0.12814352,1.7016033,-1.0000020546838642,2.192385106192281,-1.0000000597162095,993.0
180000,2.6200898,0.00024675016,0.0,0.022459123,0.21476667,0.10232983,0.06886306,0.12209841,1.6314014,-1.0000021172066529,2.2513548517910142,-1.000000038203628,993.0
185000,2.6988251,0.00024525018,0.0,-0.05353894,0.19279662,0.083166465,0.06992723,0.10928247,1.7043861,-1.0000019889945786,1.7432514235610141,-1.0000000276399077,993.0
190000,2.6652918,0.0002437502,0.0,-0.0020479902,0.1967898,0.06772123,0.068461254,0.10328008,1.6807415,-1.0000015404696265,1.8769123285232732,-1.0000000194074044,993.0
195000,2.6509016,0.0002422502,0.0,-0.06429728,0.21660993,0.04677434,0.06862497,0.105487384,1.7182732,-1.0000010229026277,2.0033108733206366,-0.9999999784554044,993.0
200000,2.613375,0.00024075019,0.0,-0.07049095,0.32354462,0.03984966,0.06965655,0.15252723,1.7516884,-1.0000008814036847,3.153089767709995,-0.9999999639258021,993.0
205000,2.4481556,0.00023925018,0.0,-0.07656023,0.26537773,0.058933802,0.06810613,0.11973895,1.5855621,-1.000001365505159,2.502576569948966,-1.0000000059594945,993.0
210000,2.4832973,0.0002377502,0.0,-0.035335764,0.2424104,0.05517731,0.06883347,0.1188031,1.6076782,-1.0000012950971722,2.1289568942738697,-1.0000000091211405,993.0
215000,2.5922854,0.00023625021,0.0,-0.07451936,0.3317852,0.028286627,0.06825651,0.16307682,1.8127015,-1.0000007423882684,3.2569746315168837,-0.9999999650094348,993.0
220000,2.6777966,0.0002347502,0.0,0.001863273,0.21430947,0.05646324,0.06812535,0.103057526,1.7198826,-1.0000011868154008,2.011995021207258,-0.9999999868305167,993.0
225000,2.6766455,0.00023325019,0.0,-0.004849519,0.28336135,0.0392646,0.06862594,0.1388409,1.7884929,-1.000000923499465,2.6390441143885255,-0.9999999764889557,993.0
230000,2.6243064,0.00023175021,0.0,-0.06576965,0.33242527,0.036627013,0.0687785,0.14315772,1.7200158,-1.0000007686515648,2.7522281038264436,-0.9999999704615523,993.0
235000,2.7129874,0.0002302502,0.0,-0.0651265,0.2532238,0.04138588,0.068646826,0.12598859,1.7832983,-1.0000009606281917,2.276879262877628,-0.9999999651045073,993.0
240000,2.7371206,0.00022875018,0.0,0.0662834,0.23678836,0.056076862,0.06836483,0.111508764,1.8128092,-1.000001238162319,2.3014120605619004,-0.9999999832274625,993.0
245000,2.7345407,0.00022725019,0.0,0.027051207,0.22066446,0.06056248,0.06936862,0.10470597,1.7461021,-1.0000016112501422,1.9441606794483959,-1.0000000082897411,993.0
250000,2.7489197,0.0002257502,0.0,0.05196992,0.16663815,0.06924538,0.06848768,0.0812606,1.7550604,-1.0000015881533424,1.5014367134465525,-0.9999999983410817,993.0
255000,2.7738984,0.0002242502,0.0,0.09581859,0.15653032,0.06933683,0.06791718,0.0751112,1.7786465,-1.0000016452123721,1.4936066570846984,-1.0000000065396306,993.0
