Steps,Policy/Entropy,Policy/Learning Rate,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Policy/Extrinsic Reward,Policy/Curiosity Reward,Environment/Cumulative Reward,Environment/Episode Length
5000,2.422449,0.00029925018,0.0,0.05403589,0.1054428,0.0023074758,0.07260815,0.01825288,2.429879,-0.5798167389196655,0.1263664388873925,-0.5798166100409313,993.0
10000,2.293584,0.00029775017,0.0,-0.011733816,0.0010939488,0.0033657528,0.06987441,0.0020814112,2.297087,-0.0845932717124621,0.03665208513460432,-0.08459321738434179,993.0
15000,2.2446175,0.00029625016,0.5974,0.0019633998,-0.0016420817,0.0033194826,0.06891201,0.0018283364,2.248117,-0.19645995385944842,0.03723356241437917,-0.19645989505006584,993.2
20000,2.2814825,0.00029475018,1.0,0.020179134,0.0040188194,0.00439905,0.069572054,0.0015165735,2.2866,0.17760672147075335,0.026678811471598844,0.17760676773929543,993.0
25000,2.255107,0.00029325017,1.3954,0.09654713,0.008088124,0.010817856,0.07048656,0.004101642,2.2479122,1.3824366313094893,0.06410869565152097,1.3824367100853123,992.8
30000,2.276531,0.00029175016,2.0,0.35138968,0.05895618,0.030442005,0.06883888,0.04039552,2.11626,5.072739379232129,0.6829496152660188,5.072739688618943,993.0
35000,2.2221475,0.00029025017,2.9942,0.53144,0.21304433,0.02531441,0.07028315,0.08004082,1.9949306,4.639769472926855,1.9325517645726602,4.639769782891623,992.8
40000,2.2866077,0.00028875016,3.593,0.6634586,0.19997174,0.036225308,0.067863286,0.07467128,2.0027995,6.681582319643349,1.7695676391633848,6.681582940250519,992.8
45000,2.20894,0.00028725018,4.1918,1.160066,0.165549,0.051602833,0.07029711,0.0742651,1.7446741,9.841738780355081,1.8383978147059679,9.841739303843982,993.0
50000,2.1234353,0.00028575014,5.0,1.3486491,0.14625435,0.059128314,0.069824114,0.089397624,1.6590598,12.334308558019499,1.8560440537830194,12.33430927093165,992.8
55000,2.0578175,0.00028425016,5.7906,0.9356397,0.17962761,0.049470652,0.07128661,0.06927032,1.667293,8.491005383059383,1.5128216774823764,8.491006180782035,992.8
60000,2.0124905,0.00028275017,6.3894,1.4194148,0.16029482,0.06274378,0.06922214,0.07150535,1.4621913,15.324408256759247,1.5629001618052523,15.32440898106021,992.8
65000,1.9681693,0.00028125016,7.0,1.6683538,0.13124932,0.065796085,0.06790303,0.06240646,1.4387516,15.807001219503581,1.32882445215558,15.807002368932688,993.0
70000,2.071204,0.00027975015,7.0,1.6453003,0.14132051,0.0673117,0.070214905,0.06636089,1.4232379,16.614057880577942,1.4374053625079493,16.614059026882025,993.0
75000,2.184902,0.00027825017,7.0,1.907498,0.13226016,0.075028285,0.06890625,0.072091684,1.427243,21.278854135237633,1.396891368428866,21.27885539526857,993.0
80000,2.168357,0.0002767502,7.0,1.7041372,0.16077302,0.06887546,0.06907706,0.07155231,1.5029533,15.57688133843864,1.4949988807396342,15.576882330113342,993.0
85000,2.1745362,0.00027525018,7.0,1.2922778,0.15605956,0.05620829,0.06996017,0.06410056,1.6512411,12.57722445819527,1.4452320153204103,12.577225648401752,993.0
90000,1.9476933,0.00027375016,7.0,0.86777645,0.14746219,0.049636237,0.07132159,0.048839383,1.6077654,8.17181195979938,1.1763373277615756,8.171812655980466,993.0
95000,1.9041535,0.00027225018,7.0,0.7811895,0.138053,0.043924328,0.07133789,0.050196122,1.4412241,8.046082055568695,1.1424906915364166,8.046082727974134,993.0
100000,1.9890225,0.00027075017,7.0,0.90023655,0.15526025,0.04903083,0.068392225,0.060955293,1.5189859,9.604778352503976,1.371663660618166,9.604779252812538,993.0
105000,1.9225234,0.00026925022,7.0,0.91797704,0.15578522,0.048548672,0.06818628,0.06276185,1.4222987,9.78905533608049,1.3332341571804136,9.78905586644105,993.0
110000,2.0687554,0.00026775018,7.0,1.0596381,0.18365061,0.056203812,0.07030297,0.07375233,1.3615005,11.054672080557793,1.6079318580528101,11.054672567469243,993.0
115000,1.995616,0.0002662502,7.0,1.2916054,0.16398746,0.0584764,0.067170516,0.07152183,1.250188,12.258775355139127,1.5829338889258604,12.258775972051565,993.0
120000,1.9297426,0.00026475018,7.0,1.6799469,0.13649268,0.06847012,0.06733303,0.052926235,1.110224,17.313898877364895,1.262878281623125,17.313899072935843,993.0
125000,1.8925886,0.00026325017,7.0,1.8883626,0.13039826,0.07494612,0.06671004,0.04730504,1.0860077,17.4297088921691,1.1505584756998966,17.42970891745887,993.0
130000,1.8836432,0.00026175016,7.0,1.7289693,0.13036944,0.073122084,0.06908797,0.04857026,1.1013485,17.28476857452964,1.1886153550818563,17.284768911246406,993.0
135000,1.8531818,0.00026025018,7.0,1.9221189,0.084263116,0.06987346,0.06908169,0.03832885,1.1180475,18.199795314669608,0.958447975339368,18.199795531878046,993.0
140000,1.80625,0.00025875017,7.0,1.7836016,0.06349028,0.062701434,0.07100995,0.023763116,1.089232,17.30905233571927,0.612786887671488,17.30905266385768,993.0
145000,1.7829262,0.00025725015,7.0,1.7044716,0.06359741,0.06314774,0.071270585,0.022986682,1.1121906,16.68292893177519,0.577283320738934,16.682929145614374,993.0
150000,1.8663,0.00025575017,7.0,1.972654,0.052541334,0.07369485,0.06900037,0.027904242,1.1391574,21.253215314944587,0.6137057933141478,21.253215539349185,993.0
155000,1.7959266,0.0002542502,7.0,1.7882022,0.06114757,0.06756242,0.06883286,0.034887068,1.1963732,17.12980173372974,0.8252347687336926,17.129802253130038,993.0
160000,1.7332047,0.00025275018,7.0,1.9003152,0.05657309,0.06912758,0.06864895,0.023053857,1.0938733,20.049601728438088,0.5567836704702738,20.049602417970405,993.0
165000,1.7242261,0.00025125017,7.0,1.8858469,0.04846976,0.06565488,0.06966106,0.020371035,1.1345909,17.85022816391041,0.4524639768351335,17.85022931151349,993.0
170000,1.6204791,0.00024975018,7.0,2.0731134,0.032873977,0.065083854,0.06794647,0.016320689,1.1468608,20.28201466432462,0.34210018696418654,20.28201588687516,993.0
175000,1.443917,0.00024825017,7.0,1.9431384,0.03374914,0.0686326,0.06703851,0.016234983,1.0754515,17.655071287664274,0.39291336050179476,17.655072730616425,993.0
180000,1.3795995,0.00024675016,7.0,1.8479218,0.043947417,0.062289618,0.07153184,0.016529787,1.0941633,16.722981296665967,0.38370056423300414,16.722982690272328,993.0
185000,1.2351185,0.00024525018,7.0,1.4350845,0.035690688,0.058458548,0.06940902,0.0137466965,0.9644678,12.89986499734223,0.38709842156580027,12.899866185317174,993.0
190000,1.2459277,0.0002437502,7.0,1.6127027,0.050307855,0.061795194,0.068463966,0.01616952,0.9511894,16.37847100024422,0.39461317282887953,16.37847283485098,993.0
195000,1.451431,0.0002422502,7.0,1.5387937,0.048419703,0.061128944,0.06878577,0.021069854,0.99974746,15.624611552339047,0.5451277944686201,15.624612909265368,993.0
200000,1.3587496,0.00024075019,7.0,1.5749583,0.049956426,0.06279503,0.06854367,0.020397322,0.9812578,15.822904934734106,0.4768701457088658,15.822906266340821,993.0
205000,1.1808027,0.00023925018,7.0,1.8854871,0.04169084,0.06999172,0.06879176,0.014471902,0.91828907,19.35833090171218,0.4140045062638819,19.35833258223938,993.0
210000,0.9566733,0.0002377502,7.0,2.0877652,0.045892198,0.07616667,0.06938077,0.015738158,0.74775875,20.46853773171703,0.4380806778319917,20.46853911785656,993.0
215000,1.1067386,0.00023625021,7.0,2.1384826,0.04383231,0.07443835,0.071368486,0.01909797,0.83098173,20.50832216820369,0.42885292708330475,20.508322522040785,993.0
220000,1.4163462,0.0002347502,7.0,1.9801137,0.055120084,0.07174391,0.0702494,0.021811321,0.9814825,20.00620843519767,0.4924352191873671,20.006209111639084,993.0
225000,1.3074127,0.00023325019,7.0,1.8200343,0.035990205,0.06439571,0.072903164,0.017263196,0.9636917,16.865371687989683,0.45197950036381374,16.865372831126297,993.0
230000,0.9238863,0.00023175021,7.0,1.7982687,0.037884,0.07012538,0.071332574,0.015750306,0.73904806,17.96647838813563,0.392205504256223,17.966479240476232,993.0
235000,1.153053,0.0002302502,7.0,2.0024862,0.03802924,0.075438894,0.068391964,0.014337247,0.8254717,21.46132498215884,0.3474279508654339,21.461325919007262,993.0
240000,1.3472459,0.00022875018,7.0,2.1456969,0.027299775,0.07222255,0.06876768,0.013570797,0.88798475,21.610351664867874,0.2974039481933384,21.610352704017227,993.0
245000,1.5095199,0.00022725019,7.0,2.4078646,0.04294564,0.07765541,0.07342887,0.014193577,1.0124385,25.221298031757275,0.31090271908421224,25.221298910012653,993.0
250000,1.4835352,0.0002257502,7.0,2.1880126,0.032331653,0.07044633,0.06731607,0.014827701,0.9759367,18.964065336311858,0.3276824245986063,18.964065686799827,993.0
255000,1.1858625,0.0002242502,7.0,1.5508624,0.027908023,0.065875754,0.069806725,0.014312941,0.79186624,15.067708840748915,0.3181171844480559,15.06770940548328,993.0
260000,1.1101136,0.00022275018,7.0,1.873566,0.037712567,0.06844097,0.06985569,0.013090369,0.7359258,19.477019110446175,0.3238918510255947,19.477019107362867,993.0
265000,1.053159,0.0002212502,7.0,1.6742195,0.03267514,0.06364541,0.07018224,0.010853996,0.6990157,16.25702570701639,0.2745028151257429,16.25702618440167,993.0
270000,1.2885935,0.00021975022,7.0,1.1902822,0.030445201,0.04975945,0.070112094,0.011125735,0.86523896,11.353639084473253,0.2542103499242027,11.353639598703497,993.0
275000,1.1093451,0.0002182502,7.0,1.0720822,0.028167674,0.05333667,0.06924631,0.0121226,0.76011217,10.806095869963368,0.31260743617021947,10.806096274521405,993.0
280000,0.98807716,0.0002167502,7.0,1.4995493,0.038808536,0.06037227,0.068866,0.012455418,0.7221733,14.931672198325396,0.32981788816396146,14.931672646490915,993.0
285000,0.87584466,0.00021525021,7.0,1.7798512,0.024639403,0.06889268,0.07088838,0.011036747,0.666537,18.595511942977705,0.27032124311760225,18.595512553103376,993.0
290000,0.92546785,0.00021375022,7.0,1.8944994,0.02171734,0.06609878,0.07203361,0.010761105,0.6755573,17.683231820041936,0.2798228070595845,17.683232519279407,993.0
295000,1.1433347,0.0002122502,7.0,1.984708,0.027273035,0.070120394,0.070184395,0.011503685,0.8530669,18.65880834956964,0.26499287703287944,18.65880934886833,993.0
300000,1.0115141,0.0002107502,7.0,2.212668,0.032181337,0.07478092,0.06952285,0.014093416,0.78217745,21.772335444639126,0.3314278537067973,21.772335938953134,993.0
305000,1.0464422,0.00020925021,7.0,2.0536315,0.03392357,0.071159735,0.07038243,0.014623715,0.7992058,19.481165580078958,0.29300884557984924,19.48116607056363,993.0
310000,1.0224104,0.0002077502,7.0,2.0726616,0.029343758,0.07739197,0.07106892,0.013980095,0.81725055,20.283951594059666,0.3499670119577786,20.283952646906013,993.0
315000,0.9262258,0.00020625019,7.0,2.1329565,0.03246009,0.0765374,0.071755156,0.010990398,0.75567675,20.252864580159077,0.26993609686323905,20.252865700139957,993.0
320000,0.94763815,0.0002047502,7.0,1.6643707,0.041082934,0.06782092,0.06938886,0.0128628705,0.7301485,16.18395152365168,0.4075979369537284,16.183952759902848,993.0
325000,0.90346795,0.0002032502,7.0,1.9705638,0.028257357,0.07769075,0.06911881,0.011934562,0.70903766,20.263154657402385,0.33337710863755393,20.26315581077482,993.0
330000,0.9259367,0.00020175018,7.0,2.247641,0.04207791,0.07549749,0.06941356,0.017981837,0.7132088,21.538817691616714,0.5090386871335795,21.538819111029444,993.0
