Steps,Policy/Entropy,Policy/Learning Rate,Environment/Lesson,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Policy/Extrinsic Reward,Policy/Curiosity Reward,Environment/Cumulative Reward,Environment/Episode Length
5000,2.434248,0.00029925018,0.0,0.02624486,0.015823659,0.004149578,0.07034061,0.021025581,2.4373415,-0.02362097768733899,0.14930787153813677,-0.023620802096653886,993.0
10000,2.2227097,0.00029775017,0.5988,-0.0380548,0.0022962156,0.0030556594,0.07022686,0.0027628304,2.243806,-0.2509000148624182,0.05570220116254253,-0.2508999420046166,992.8
15000,1.9619156,0.00029625016,1.0,-0.060585342,-0.0018340958,0.0023686755,0.07117126,0.0019072797,1.9678841,-0.3735266413539648,0.030473164579598234,-0.37352656277726054,993.0
20000,2.013342,0.00029475018,1.0,-0.022257721,-0.0058455784,0.0031484528,0.06822139,0.0012752567,2.0192406,-0.10505991739531358,0.023959047853713854,-0.1050598794131171,993.0
25000,2.1804001,0.00029325017,1.0,-0.034221347,0.010915756,0.0028734591,0.0693984,0.001164753,2.1719584,-0.17286660100022952,0.022629385946008065,-0.17286655422794867,993.0
30000,2.1738055,0.00029175016,1.0,-0.006659229,-0.0025362626,0.0033241443,0.068861246,0.0012934306,2.1666455,-0.20375001815458138,0.020393343943093594,-0.20374992515983953,993.0
35000,2.3084395,0.00029025017,1.0,0.033668198,-0.003533415,0.0049945572,0.06796882,0.0022095158,2.3060212,0.1485232889652252,0.036612633342156184,0.1485233757002182,993.0
40000,2.318734,0.00028875016,1.3928,0.15567866,0.019285448,0.0098316455,0.07117812,0.011762699,2.2781065,1.2082631623721682,0.2524060049559921,1.2082633477235505,992.8
45000,2.1744015,0.00028725018,2.0,0.09553839,0.05377766,0.008509858,0.068327494,0.03721602,2.114307,0.6986899589498837,0.6663544560472171,0.6986900232540696,993.0
50000,2.1151378,0.00028575014,2.0,0.15947782,0.196233,0.013261162,0.06906763,0.085100144,1.9729879,1.4976566050201654,1.7332422266403833,1.4976566828408977,993.0
55000,2.1728277,0.00028425016,2.7904,0.2818871,0.21074238,0.023016574,0.069026835,0.11041713,1.8766453,2.9164363137291125,1.9880780073503652,2.916436625727753,992.8
60000,2.1632915,0.00028275017,3.3892,0.43699315,0.21679932,0.027802441,0.06979721,0.10661099,1.8566551,4.254126096578935,2.1448355589061974,4.254126565378586,992.8
65000,1.9646779,0.00028125016,4.0,0.62201744,0.20368919,0.036571212,0.06687373,0.09287627,1.7358446,6.200615849221746,1.9180610235004376,6.200616461871687,993.0
70000,1.9337685,0.00027975015,4.988,0.60057247,0.20065181,0.0386491,0.06690581,0.0907182,1.7277653,6.717885805293918,1.7846489308557163,6.7178863805325815,992.8
75000,2.051378,0.00027825017,5.5868,0.6897767,0.22235465,0.03577798,0.070021346,0.096344575,1.8266132,6.788902528739224,1.9101670880491535,6.788903000885814,992.8
80000,1.9608248,0.0002767502,6.1856,0.71353763,0.18808232,0.039318442,0.06884872,0.101018906,1.7183564,6.185299100001187,1.8983352491632104,6.185299696783477,993.0
